bangladesh_test	Total	Male	Female
 10-14 	29136.283548	14909.510243	14226.773305
 15-19 	94464.705507	48300.323881	46164.381626
 20-24 	87642.843443	44418.525336	43224.318107
 25-29 	84445.880231	42266.271386	42179.608845
 30-34 	84540.951739	42067.676348	42473.275391
 35-39 	81391.940685	40250.964708	41140.975977
 40-44 	76247.096278	37236.216127	39010.880151
 45-49 	69868.124515	33568.404951	36299.719563
 50-54 	62408.678261	29825.020043	32583.658219
 55-59 	52076.528747	24904.640260	27171.888487
 60-64 	42625.115492	20797.184486	21827.931006
 65-69 	34508.618737	17198.846400	17309.772337
 70-74 	23563.594554	11820.903247	11742.691307
 75-79 	13569.663607	7004.523649	6565.139959
 80+ 	12870.065044	6390.174462	6479.890582
Total	1035494.163006	516148.034862	519346.128144
2034			
 0-4	123467.484279	63147.111944	60320.372335
 5-9	61064.430794	31224.998299	29839.432494
 10-14 	28937.092959	14804.243444	14132.849514
 15-19 	94102.399017	48109.644848	45992.754169
 20-24 	87700.525273	44457.542984	43242.982290
 25-29 	83657.813324	41868.830474	41788.982849
 30-34 	84259.769784	41923.909133	42335.860651
 35-39 	81798.530583	40481.960054	41316.570529
 40-44 	77104.300711	37757.252198	39347.048513
 45-49 	70872.695637	34119.475970	36753.219667
 50-54 	63838.855793	30479.625296	33359.230497
 55-59 	53909.985007	25725.031368	28184.953639
 60-64 	43494.754586	21052.559700	22442.194886
 65-69 	35957.162591	17854.516608	18102.645983
 70-74 	25072.585617	12520.766698	12551.818919
 75-79 	14554.909986	7447.829833	7107.080153
 80+ 	13473.859848	6711.418750	6762.441098
Total	1043267.155789	519686.717603	523580.438186
2035			
 0-4	122536.093166	62669.821791	59866.271375
 5-9	60481.225799	30929.714717	29551.511082
 10-14 	28710.313729	14684.922926	14025.390804
 15-19 	93727.217125	47912.295948	45814.921176
 20-24 	87687.339003	44455.130389	43232.208614
 25-29 	83129.457312	41608.285353	41521.171959
 30-34 	83765.431396	41670.450653	42094.980743
 35-39 	82088.731081	40644.303873	41444.427208
 40-44 	77904.623128	38241.606727	39663.016401
 45-49 	71880.147943	34691.796435	37188.351507
 50-54 	65143.521709	31083.876443	34059.645266
 55-59 	55763.363039	26570.462355	29192.900684
 60-64 	44570.172121	21412.385218	23157.786902
 65-69 	37242.600239	18407.839837	18834.760402
 70-74 	26524.108761	13201.572401	13322.536360
 75-79 	15712.705063	7958.938859	7753.766203
 80+ 	14120.098279	7053.126863	7066.971416
Total	1050987.148892	523196.530790	527790.618102
2036			
 0-4	121684.714528	62231.997229	59452.717298
 5-9	59912.480186	30641.931309	29270.548878
 10-14 	28466.353015	14557.436519	13908.916496
 15-19 	93310.045593	47692.840448	45617.205146
 20-24 	87573.263210	44396.345160	43176.918050
 25-29 	82891.160729	41499.252047	41391.908682
 30-34 	83058.379285	41308.157931	41750.221354
 35-39 	82266.448715	40742.609309	41523.839406
 40-44 	78645.157085	38679.053476	39966.103608
 45-49 	72905.300502	35291.851549	37613.448954
 50-54 	66328.769130	31648.605939	34680.163191
 55-59 	57566.571681	27398.636016	30167.935666
 60-64 	46380.082470	22173.988326	24206.094144
 65-69 	37864.109776	18584.704702	19279.405074
 70-74 	27941.965544	13868.248467	14073.717078
 75-79 	17004.099124	8529.360363	8474.738761
 80+ 	14831.829186	7420.812062	7411.017124
Total	1058630.729761	526665.830852	531964.898908
2037			
 0-4	120905.627301	61830.610322	59075.016979
 5-9	59365.288857	30364.305323	29000.983534
 10-14 	28209.782101	14424.604714	13785.177387
 15-19 	92836.197674	47442.993979	45393.203695
 20-24 	87360.153197	44283.628853	43076.524344
 25-29 	82895.653792	41515.551515	41380.102277
 30-34 	82201.962659	40870.260081	41331.702578
 35-39 	82330.849958	40778.957554	41551.892404
 40-44 	79324.916352	39073.112564	40251.803788
 45-49 	73913.455076	35890.781151	38022.673925
 50-54 	67428.066166	32195.345804	35232.720362
 55-59 	59265.960552	28177.772008	31088.188545
 60-64 	47990.840054	22841.770114	25149.069940
 65-69 	38774.545679	18898.552189	19875.993490
 70-74 	29336.639759	14520.927488	14815.712272
 75-79 	18366.719718	9136.531468	9230.188250
 80+ 	15652.110771	7830.169221	7821.941550
Total	1066158.769668	530075.874348	536082.895320
2038			
 0-4	120191.400261	61462.993277	58728.406984
 5-9	58843.429708	30098.305983	28745.123725
 10-14 	27945.189004	14288.947353	13656.241651
 15-19 	92291.895009	47155.292164	45136.602845
 20-24 	87080.557817	44135.555463	42945.002354
 25-29 	83010.153006	41586.677514	41423.475492
 30-34 	81329.773102	40426.215615	40903.557486
 35-39 	82273.413688	40750.886026	41522.527662
 40-44 	79900.379698	39401.528749	40498.850949
 45-49 	74869.964223	36466.788912	38403.175311
 50-54 	68488.519849	32747.615948	35740.903902
 55-59 	60848.392991	28901.606033	31946.786958
 60-64 	49743.738339	23602.802166	26140.936173
 65-69 	39646.471408	19175.676206	20470.795202
 70-74 	30718.493431	15159.257034	15559.236397
 75-79 	19736.449205	9756.499148	9979.950057
 80+ 	16615.939125	8293.896010	8322.043115
Total	1073534.159864	533410.543603	540123.616261
2039			
 0-4	119520.480932	61118.921705	58401.559227
 5-9	58353.084487	29847.125092	28505.959395
 10-14 	27676.651124	14152.337219	13524.313905
 15-19 	91653.032736	46818.023994	44835.008742
 20-24 	86775.648742	43974.377391	42801.271351
 25-29 	83105.433165	41644.104256	41461.328909
 30-34 	80601.188081	40058.987336	40542.200745
 35-39 	82047.424269	40635.531714	41411.892555
 40-44 	80353.023006	39656.113340	40696.909666
 45-49 	75768.398646	37008.677706	38759.720940
 50-54 	69531.337045	33317.032247	36214.304799
 55-59 	62304.992737	29569.575372	32735.417365
 60-64 	51572.280286	24421.497890	27150.782396
 65-69 	40538.134226	19452.453740	21085.680486
