bangladesh_test	Total	Male	Female
 40-44 	33314.006588	17368.001151	15946.005438
 45-49 	26784.633308	14336.413972	12448.219335
 50-54 	21604.236952	11543.073638	10061.163313
 55-59 	17620.883649	9381.252896	8239.630753
 60-64 	14026.614282	7543.304295	6483.309987
 65-69 	10470.932290	5701.231015	4769.701275
 70-74 	7296.835948	4046.948594	3249.887353
 75-79 	4443.189742	2487.331247	1955.858495
 80+ 	2999.962442	1647.898038	1352.064404
Total	689903.934293	357729.552295	332174.381998
1983			
 0-4	102719.344350	52160.179473	50559.164877
 5-9	105414.684939	53671.038367	51743.646572
