Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
 75-79 	2.571620	4.581826	1.454828
 80+ 	0.000000	0.000000	0.000000
Total	13.282432	11.565241	14.955704
1997			
 0-4	8.225715	8.271719	8.178990
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.159439	7.181744	17.242007
 20-24 	31.848322	23.803054	40.426647
 25-29 	35.801807	30.459617	41.572806
 30-34 	32.582286	30.195313	35.091399
 35-39 	27.038448	25.982546	28.060818
 40-44 	21.449278	20.305443	22.485561
 45-49 	16.524050	14.909158	17.935355
 50-54 	12.329874	10.780699	13.655220
 55-59 	9.143317	8.459095	9.711678
 60-64 	7.208139	7.731806	6.785321
 65-69 	6.741848	7.891828	5.845951
 70-74 	7.269242	7.665411	6.996117
 75-79 	2.900250	5.128777	1.650316
 80+ 	0.000000	0.000000	0.000000
Total	15.034700	13.079387	16.942357
1998			
 0-4	9.921199	9.977712	9.863804
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.788149	7.506595	18.199369
 20-24 	33.429275	24.867997	42.708356
 25-29 	37.583300	31.849325	43.965747
 30-34 	34.231670	31.579355	37.096258
 35-39 	28.416006	27.166427	29.638751
 40-44 	22.548289	21.217709	23.739950
 45-49 	17.384592	15.575778	18.933050
 50-54 	12.980420	11.263070	14.416862
 55-59 	9.616078	8.836877	10.250550
 60-64 	7.565541	8.077489	7.162051
 65-69 	7.066283	8.244600	6.168574
 70-74 	7.641653	8.007673	7.387775
 75-79 	3.048438	5.356891	1.744097
 80+ 	0.000000	0.000000	0.000000
Total	15.867382	13.809283	17.877738
1999			
 0-4	11.445674	11.511569	11.378751
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.759850	7.455177	18.204207
 20-24 	33.253035	24.648383	42.675770
 25-29 	37.379891	31.588012	43.977850
 30-34 	34.068760	31.323759	37.100824
 35-39 	28.296608	26.949636	29.635257
 40-44 	22.461415	21.040877	23.727942
 45-49 	17.328397	15.441744	18.922339
 50-54 	12.957140	11.176348	14.421282
 55-59 	9.587135	8.764738	10.246382
 60-64 	7.533494	8.013553	7.162884
 65-69 	7.027153	8.179316	6.169012
 70-74 	7.615435	7.942196	7.389574
 75-79 	3.032142	5.316272	1.741263
 80+ 	0.000000	0.000000	0.000000
Total	15.921592	13.874483	17.922696
2000			
 0-4	12.738481	12.810294	12.665524
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.277888	7.186739	17.506363
 20-24 	31.903419	23.689690	40.942423
 25-29 	35.865848	30.372073	42.221629
 30-34 	32.709996	30.113074	35.617724
 35-39 	27.184245	25.920024	28.462849
 40-44 	21.577679	20.231986	22.779551
 45-49 	16.652854	14.844983	18.169143
 50-54 	12.472647	10.759350	13.864540
 55-59 	9.218151	8.431732	9.841181
 60-64 	7.242041	7.711860	6.885389
 65-69 	6.749075	7.871526	5.931265
 70-74 	7.321576	7.640390	7.104146
 75-79 	2.907296	5.112787	1.663220
 80+ 	0.000000	0.000000	0.000000
Total	15.461803	13.546810	17.333805
2001			
 0-4	13.780561	13.857810	13.702072
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	11.582233	6.793970	16.495950
 20-24 	30.005059	22.318796	38.463589
 25-29 	33.731054	28.613229	39.674890
 30-34 	30.760324	28.368316	33.470399
 35-39 	25.583988	24.430476	26.772391
 40-44 	20.303545	19.067713	21.417137
 45-49 	15.674721	13.988617	17.086614
 50-54 	11.757892	10.152264	13.053510
 55-59 	8.682531	7.950925	9.257428
 60-64 	6.822028	7.274777	6.482656
 65-69 	6.352460	7.425673	5.586776
 70-74 	6.896143	7.204882	6.689658
 75-79 	2.724307	4.816232	1.551309
 80+ 	0.000000	0.000000	0.000000
Total	14.751951	12.990447	16.473124
2002			
 0-4	14.539575	14.621508	14.456328
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.842578	6.372676	15.421963
 20-24 	28.006787	20.864017	35.847797
 25-29 	31.475115	26.735731	36.977176
 30-34 	28.701166	26.509548	31.203716
 35-39 	23.884473	22.840113	24.979630
 40-44 	18.950566	17.828333	19.976063
 45-49 	14.635196	13.078370	15.940123
 50-54 	10.989030	9.499777	12.186088
 55-59 	8.112280	7.437602	8.638776
 60-64 	6.374736	6.807184	6.053706
 65-69 	5.931134	6.948631	5.219546
 70-74 	6.442171	6.740347	6.247052
 75-79 	2.531312	4.498467	1.435012
 80+ 	0.000000	0.000000	0.000000
Total	13.980136	12.366706	15.555437
2003			
 0-4	14.768316	14.852206	14.683093
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.198915	6.003459	14.487771
 20-24 	26.267047	19.590884	33.572525
 25-29 	29.503673	25.084543	34.625314
 30-34 	26.904416	24.878311	29.232818
 35-39 	22.396365	21.441063	23.413783
 40-44 	17.766415	16.740162	18.719907
 45-49 	13.724253	12.278842	14.937674
 50-54 	10.310197	8.921840	11.422670
 55-59 	7.614061	6.986549	8.100088
 60-64 	5.981436	6.395035	5.677038
 65-69 	5.560980	6.528061	4.897226
 70-74 	6.042806	6.331403	5.857926
 75-79 	2.365050	4.218491	1.338137
 80+ 	0.000000	0.000000	0.000000
Total	13.268393	11.778501	14.721716
2004			
 0-4	14.603453	14.687201	14.518391
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.694398	5.713101	13.754581
 20-24 	24.894814	18.584987	31.774748
 25-29 	27.941284	23.772660	32.761966
 30-34 	25.481724	23.583982	27.676112
 35-39 	21.213453	20.326710	22.169512
 40-44 	16.826608	15.876285	17.724948
 45-49 	12.998173	11.642217	14.139009
 50-54 	9.767891	8.459333	10.813076
 55-59 	7.220672	6.629026	7.675225
 60-64 	5.667372	6.066825	5.376020
 65-69 	5.265806	6.193032	4.640392
 70-74 	5.723713	6.005221	5.546878
 75-79 	2.235315	3.996168	1.266838
 80+ 	0.000000	0.000000	0.000000
Total	12.674636	11.281746	14.031808
2005			
 0-4	14.250172	14.332935	14.166135
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.328754	5.502526	13.221990
 20-24 	23.896346	17.853766	30.459272
 25-29 	26.795880	22.811252	31.392053
 30-34 	24.433828	22.631777	26.532879
 35-39 	20.339285	19.502149	21.248353
 40-44 	16.136590	15.243506	16.994239
 45-49 	12.461068	11.173209	13.547330
 50-54 	9.368320	8.118112	10.362571
 55-59 	6.933792	6.367735	7.364873
 60-64 	5.434932	5.825760	5.152817
 65-69 	5.047544	5.946827	4.450712
 70-74 	5.486830	5.764391	5.315583
 75-79 	2.140655	3.833831	1.218077
 80+ 	0.000000	0.000000	0.000000
Total	12.220590	10.901019	13.504348
2006			
 0-4	13.827790	13.908918	13.745437
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	9.098054	5.366752	12.888379
 20-24 	23.271943	17.389800	29.635058
 25-29 	26.067069	22.192172	30.524886
 30-34 	23.766909	22.019426	25.808788
 35-39 	19.777614	18.973663	20.660005
 40-44 	15.696345	14.837134	16.533998
 45-49 	12.115011	10.869793	13.169788
