Vietnam_test	Total	Male	Female
 15-19 	41700.583385	21560.532340	20140.051045
 20-24 	51627.578073	26821.161210	24806.416864
 25-29 	52679.656577	27428.016186	25251.640392
 30-34 	50383.092609	26057.222966	24325.869643
 35-39 	46164.807309	23527.001721	22637.805588
 40-44 	48407.301363	24502.197998	23905.103365
 45-49 	57738.601309	28873.118865	28865.482443
 50-54 	54462.870303	26774.049732	27688.820571
 55-59 	46976.739681	22624.522488	24352.217193
 60-64 	40709.355171	19185.940597	21523.414575
 65-69 	35824.216231	16552.014719	19272.201513
 70-74 	30336.927551	13562.438267	16774.489284
 75-79 	23695.931877	9933.350796	13762.581081
 80+ 	25886.852087	9016.137408	16870.714679
Total	702532.972538	345639.534295	356893.438243
2039			
 0-4	33371.910209	17116.210298	16255.699912
 5-9	37729.351355	19354.494626	18374.856729
 10-14 	24387.540011	12514.855094	11872.684916
 15-19 	40887.092761	21111.025033	19776.067727
 20-24 	50723.684283	26312.106795	24411.577489
 25-29 	52270.582084	27199.689707	25070.892377
 30-34 	50623.724634	26227.416982	24396.307651
 35-39 	46466.280676	23725.957523	22740.323153
 40-44 	46668.539191	23642.740482	23025.798709
 45-49 	56262.005140	28185.303569	28076.701571
 50-54 	55484.482779	27325.411271	28159.071508
 55-59 	48143.469421	23232.357373	24911.112047
 60-64 	41339.845556	19495.503619	21844.341937
 65-69 	36383.707982	16806.175863	19577.532119
 70-74 	30780.524045	13773.835446	17006.688599
 75-79 	24326.432101	10251.134718	14075.297382
 80+ 	27483.381079	9652.050829	17831.330250
Total	703332.553306	345926.269229	357406.284077
2040			
 0-4	33225.073540	17040.663998	16184.409542
 5-9	37595.932929	19286.371327	18309.561602
 10-14 	24220.902574	12426.478235	11794.424338
