Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 65-69 	7.725732	6.054864	1.670869
 70-74 	1.690091	1.300099	0.389992
 75-79 	0.274244	0.214816	0.059428
 80+ 	0.058056	0.048941	0.009115
Total	2476.398427	1829.849475	646.548953
2024			
 0-4	3.473904	1.783419	1.690484
 5-9	4.582131	2.346584	2.235546
 10-14 	4.897179	2.495052	2.402127
 15-19 	62.784902	40.547429	22.237474
 20-24 	211.525232	142.612489	68.912743
 25-29 	325.792921	230.379089	95.413832
 30-34 	475.980996	349.972540	126.008456
 35-39 	509.619902	384.728382	124.891519
 40-44 	394.153076	300.409006	93.744071
 45-49 	259.497658	200.036404	59.461254
 50-54 	137.129220	106.393276	30.735944
 55-59 	64.935406	51.060171	13.875235
 60-64 	26.955231	21.642950	5.312282
 65-69 	8.287714	6.507617	1.780097
 70-74 	1.944302	1.494024	0.450277
 75-79 	0.323674	0.249773	0.073901
 80+ 	0.065153	0.054064	0.011089
Total	2491.948599	1842.712268	649.236331
2025			
 0-4	3.217539	1.649574	1.567965
 5-9	4.226581	2.161501	2.065080
 10-14 	4.852443	2.473607	2.378835
 15-19 	62.816818	40.740677	22.076140
 20-24 	216.024178	145.538181	70.485997
 25-29 	321.141779	226.495241	94.646538
 30-34 	460.684884	338.984932	121.699952
 35-39 	515.679468	390.513837	125.165632
 40-44 	405.397389	309.423434	95.973955
 45-49 	267.741283	205.948543	61.792741
 50-54 	140.435988	108.672710	31.763278
 55-59 	66.645654	52.357136	14.288518
 60-64 	27.873958	22.432940	5.441018
 65-69 	8.783127	6.915720	1.867407
 70-74 	2.194287	1.686476	0.507811
 75-79 	0.383187	0.292674	0.090513
 80+ 	0.073058	0.059554	0.013504
Total	2508.171621	1856.346737	651.824884
2026			
 0-4	2.998134	1.534690	1.463444
 5-9	4.003652	2.045423	1.958229
 10-14 	4.661280	2.378632	2.282649
 15-19 	63.006657	40.982574	22.024083
 20-24 	221.068555	148.990188	72.078367
 25-29 	320.340972	225.290721	95.050251
 30-34 	443.264103	326.275419	116.988684
 35-39 	520.434715	395.184191	125.250524
 40-44 	415.991214	318.204977	97.786236
 45-49 	276.714720	212.535620	64.179100
 50-54 	143.965733	111.151075	32.814658
 55-59 	68.164493	53.469335	14.695159
 60-64 	28.656859	23.107469	5.549390
 65-69 	9.212919	7.278816	1.934102
 70-74 	2.426351	1.866461	0.559889
 75-79 	0.454501	0.345155	0.109345
 80+ 	0.082019	0.065614	0.016404
Total	2525.446876	1870.706359	654.740517
2027			
 0-4	2.779687	1.420998	1.358689
 5-9	3.808036	1.944089	1.863947
 10-14 	4.445453	2.270923	2.174531
 15-19 	63.239764	41.212195	22.027569
 20-24 	226.140490	152.589536	73.550954
 25-29 	323.081235	226.655998	96.425237
 30-34 	426.261708	313.721262	112.540446
 35-39 	521.313959	396.780069	124.533890
 40-44 	426.017413	326.735515	99.281899
 45-49 	286.295704	219.741584	66.554120
 50-54 	147.468774	113.615748	33.853026
 55-59 	69.692656	54.578314	15.114342
 60-64 	29.368695	23.718834	5.649861
 65-69 	9.580555	7.597883	1.982673
 70-74 	2.636909	2.031929	0.604980
 75-79 	0.532819	0.403514	0.129304
 80+ 	0.093070	0.073137	0.019933
Total	2542.756927	1885.091526	657.665401
2028			
 0-4	2.603336	1.329555	1.273781
 5-9	3.594732	1.834416	1.760316
 10-14 	4.282435	2.188594	2.093841
 15-19 	63.513927	41.428097	22.085830
 20-24 	230.652538	155.950713	74.701826
 25-29 	328.789609	230.271955	98.517654
 30-34 	411.409255	302.614339	108.794916
 35-39 	516.695622	394.084966	122.610655
 40-44 	435.683841	335.106791	100.577050
 45-49 	296.143021	227.341271	68.801751
 50-54 	151.106056	116.215062	34.890993
 55-59 	71.200707	55.668197	15.532509
 60-64 	29.985180	24.245391	5.739789
 65-69 	9.889691	7.874264	2.015427
 70-74 	2.823717	2.181736	0.641981
 75-79 	0.614459	0.465079	0.149380
 80+ 	0.106854	0.082671	0.024182
Total	2559.094979	1898.883097	660.211881
2029			
 0-4	2.472885	1.262151	1.210733
 5-9	3.394781	1.731703	1.663077
 10-14 	4.087661	2.088259	1.999401
 15-19 	63.516541	41.495496	22.021046
 20-24 	234.815923	159.050502	75.765421
 25-29 	335.926015	235.088921	100.837094
 30-34 	400.738464	294.470451	106.268012
 35-39 	506.461391	386.977949	119.483442
 40-44 	444.924428	343.188123	101.736306
 45-49 	305.953005	235.099362	70.853643
 50-54 	155.107075	119.134929	35.972146
 55-59 	72.738465	56.788787	15.949678
 60-64 	30.486997	24.665721	5.821275
 65-69 	10.155444	8.117874	2.037570
 70-74 	2.985699	2.315057	0.670642
 75-79 	0.695997	0.527288	0.168709
 80+ 	0.123946	0.094733	0.029213
