SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 75-79 	32267.249474	11048.030086	21219.219388
 80+ 	14217.388835	4728.234712	9489.154123
Total	7013287.340341	2885474.128153	4127813.212188
2017			
 0-4	48519.724117	24466.621609	24053.102509
 5-9	55081.449180	27713.268407	27368.180772
 10-14 	58884.025111	29630.324385	29253.700726
 15-19 	146200.848301	56370.193269	89830.655032
 20-24 	412474.083615	146375.844229	266098.239386
 25-29 	818125.442761	308851.036636	509274.406125
 30-34 	1200581.731139	485238.747137	715342.984003
 35-39 	1302671.260093	552292.961302	750378.298791
 40-44 	1081393.608531	476759.076489	604634.532042
 45-49 	747870.109635	335563.282339	412306.827297
 50-54 	500049.677817	214970.179747	285079.498070
 55-59 	332308.608649	128442.559856	203866.048793
 60-64 	213377.791238	76268.702322	137109.088916
 65-69 	122899.293893	43039.364412	79859.929481
 70-74 	70370.421410	24068.006192	46302.415219
 75-79 	35447.664961	11937.522047	23510.142914
 80+ 	15978.678312	5154.079132	10824.599180
Total	7162234.418763	2947141.769508	4215092.649256
2018			
 0-4	45047.224884	22721.892842	22325.332042
 5-9	50700.935723	25504.235494	25196.700229
 10-14 	56766.389054	28556.949420	28209.439635
 15-19 	146708.204090	56666.713994	90041.490096
 20-24 	397814.845755	142689.163183	255125.682572
 25-29 	779250.453141	294195.672065	485054.781076
 30-34 	1166326.031968	470290.072227	696035.959741
 35-39 	1315145.020003	555599.116833	759545.903170
 40-44 	1136219.985915	497782.004168	638437.981746
 45-49 	801060.403112	358749.788016	442310.615096
 50-54 	536615.250632	232768.172318	303847.078314
 55-59 	353364.738412	138851.976816	214512.761596
 60-64 	231183.540808	82830.608228	148352.932580
