Workshop_1_Demo	Total	Male	Female
 10-14 	11103.214263	5554.871644	5548.342619
 15-19 	26686.146702	13450.793650	13235.353052
 20-24 	27773.188344	14361.276902	13411.911442
 25-29 	23031.537381	12141.953640	10889.583741
 30-34 	19232.288030	10024.673346	9207.614684
 35-39 	16802.343040	8403.219042	8399.123998
 40-44 	15540.114705	7384.170554	8155.944151
 45-49 	13616.948888	6291.125793	7325.823095
 50-54 	11104.453186	5050.555487	6053.897699
 55-59 	9036.441128	4049.534292	4986.906836
 60-64 	6710.739976	2942.327494	3768.412482
 65-69 	4606.146095	1973.274202	2632.871893
 70-74 	2812.528257	1149.489297	1663.038960
 75-79 	1571.420605	567.071411	1004.349194
 80+ 	1086.557367	333.508477	753.048890
Total	222172.510952	109480.393122	112692.117830
2000			
 0-4	15918.590235	8005.820123	7912.770112
 5-9	17025.428804	8542.983739	8482.445065
 10-14 	11501.330488	5752.264234	5749.066254
 15-19 	28347.955795	14296.569307	14051.386488
 20-24 	29385.229150	15252.791307	14132.437843
 25-29 	23893.524056	12698.346220	11195.177835
 30-34 	19851.652227	10474.609245	9377.042982
 35-39 	17286.576521	8725.786119	8560.790401
 40-44 	16127.620279	7662.588929	8465.031350
 45-49 	14494.174432	6650.600139	7843.574293
 50-54 	11913.034190	5367.832079	6545.202111
 55-59 	9715.727724	4314.930742	5400.796982
 60-64 	7257.756558	3148.246093	4109.510465
 65-69 	4981.077668	2105.582641	2875.495027
 70-74 	3052.548888	1239.830198	1812.718690
 75-79 	1703.278278	615.955759	1087.322519
 80+ 	1171.507720	362.131924	809.375795
Total	233627.013012	115216.868798	118410.144214
2001			
 0-4	16840.463173	8470.218635	8370.244538
 5-9	17749.497132	8909.947710	8839.549422
 10-14 	11913.181849	5958.130487	5955.051363
 15-19 	30081.832087	15175.155106	14906.676980
 20-24 	31245.910772	16249.357405	14996.553367
 25-29 	24989.867272	13364.051770	11625.815502
 30-34 	20581.224031	10931.503324	9649.720707
 35-39 	17855.594001	9090.884537	8764.709465
 40-44 	16674.807332	7949.270582	8725.536750
 45-49 	15312.009148	6999.362428	8312.646720
 50-54 	12760.972567	5714.922831	7046.049736
 55-59 	10384.552133	4580.791621	5803.760512
 60-64 	7852.047267	3377.626910	4474.420358
 65-69 	5394.867622	2251.177217	3143.690406
 70-74 	3347.359469	1344.992851	2002.366619
 75-79 	1889.954912	683.256738	1206.698174
 80+ 	1298.890108	401.171709	897.718399
Total	246173.030877	121451.821860	124721.209017
2002			
 0-4	17805.103123	8955.576918	8849.526205
 5-9	18458.935177	9270.472429	9188.462748
 10-14 	12302.089639	6154.115724	6147.973914
 15-19 	31715.776105	15995.154262	15720.621844
 20-24 	33196.721018	17263.393057	15933.327962
 25-29 	26227.664953	14044.793161	12182.871793
 30-34 	21344.913352	11392.158963	9952.754389
 35-39 	18461.140861	9479.103440	8982.037421
 40-44 	17130.880371	8222.089730	8908.790641
 45-49 	15996.226997	7309.027848	8687.199149
 50-54 	13556.033075	6052.701086	7503.331989
 55-59 	11005.044843	4831.623648	6173.421195
 60-64 	8447.336021	3611.320515	4836.015506
 65-69 	5825.334052	2402.273229	3423.060823
