bangladesh_test	Total	Male	Female
 50-54 	2670768.410126	1427081.993238	1243686.416888
 55-59 	2211138.351674	1177378.610010	1033759.741664
 60-64 	1779918.128366	957404.785123	822513.343243
 65-69 	1340099.176433	729813.381536	610285.794897
 70-74 	939791.471909	521332.300312	418459.171597
 75-79 	574953.718129	321887.004946	253066.713183
 80+ 	389856.754577	214161.023457	175695.731120
Total	87665913.391742	45426970.394433	42238942.997309
1983			
 0-4	15133081.293490	7700848.803796	7432232.489693
 5-9	12795084.628205	6515617.372534	6279467.255672
 10-14 	11127106.426690	5685995.749549	5441110.677141
 15-19 	9998499.134823	5156098.028550	4842401.106273
 20-24 	8242174.989292	4260683.172636	3981491.816656
 25-29 	6106233.683003	3227606.534786	2878627.148216
 30-34 	4806462.762505	2556530.726885	2249932.035620
 35-39 	4343148.302196	2242442.823759	2100705.478437
 40-44 	4014817.129947	2085932.871476	1928884.258471
 45-49 	3319438.213545	1777329.066159	1542109.147386
 50-54 	2717075.183985	1457997.403653	1259077.780332
 55-59 	2243307.274978	1196402.919594	1046904.355384
 60-64 	1811638.110606	974262.265806	837375.844800
 65-69 	1365283.495505	743255.882619	622027.612886
 70-74 	961983.627192	531534.665972	430448.961221
 75-79 	592404.162481	332535.112567	259869.049914
 80+ 	411051.814460	226559.038512	184492.775948
Total	89988790.232905	46671632.438855	43317157.794050
1984			
 0-4	15375195.703503	7825764.156388	7549431.547115
 5-9	13129700.009809	6687473.222213	6442226.787596
 10-14 	11483178.556761	5864070.706249	5619107.850512
 15-19 	10153480.305700	5228529.622009	4924950.683691
 20-24 	8600191.159513	4449605.534530	4150585.624983
 25-29 	6485890.991570	3423667.528760	3062223.462809
 30-34 	4953237.644041	2659814.521171	2293423.122869
 35-39 	4389919.523305	2283518.665583	2106400.857722
 40-44 	4079008.769521	2112398.606960	1966610.162561
 45-49 	3398736.663217	1816986.688249	1581749.974969
 50-54 	2770503.002217	1492009.981499	1278493.020718
 55-59 	2279168.864159	1218234.837211	1060934.026948
 60-64 	1844573.085047	991713.267235	852859.817812
 65-69 	1392777.778499	757826.488709	634951.289789
 70-74 	984425.411416	542046.334681	442379.076735
 75-79 	609975.573482	342580.852495	267394.720988
 80+ 	432010.731900	239033.257533	192977.474367
Total	92361973.773660	47935274.271476	44426699.502184
1985			
 0-4	15588773.246768	7936452.150466	7652321.096303
 5-9	13454785.905942	6854902.953176	6599882.952766
 10-14 	11688013.656129	5959447.822486	5728565.833643
 15-19 	10447331.779124	5375040.216586	5072291.562538
 20-24 	8960270.311131	4639981.243585	4320289.067546
 25-29 	6890642.302851	3626420.709625	3264221.593226
 30-34 	5139015.068269	2775347.474288	2363667.593981
 35-39 	4449186.860752	2335142.561221	2114044.299530
 40-44 	4134143.148809	2136485.317560	1997657.831248
 45-49 	3489414.079795	1858887.758373	1630526.321422
 50-54 	2836042.167858	1531074.525296	1304967.642561
 55-59 	2322139.058176	1244433.902196	1077705.155980
