south_africa_test	Total	Male	Female
 45-49 	12318.964506	6488.066210	5830.898296
 50-54 	10717.452004	5707.375280	5010.076724
 55-59 	8186.112476	4372.226865	3813.885611
 60-64 	5950.657735	3089.265722	2861.392013
 65-69 	4663.394102	2196.328986	2467.065116
 70-74 	3786.704339	1521.762075	2264.942264
 75-79 	3030.451015	986.734357	2043.716659
 80+ 	3247.179710	780.030789	2467.148921
Total	214976.788691	108753.306954	106223.481737
2037			
 0-4	18892.047504	9569.307750	9322.739754
 5-9	20590.581102	10420.754034	10169.827067
 10-14 	12801.425396	6469.304009	6332.121387
 15-19 	20697.981427	10475.647710	10222.333717
 20-24 	22600.174675	11567.422278	11032.752397
 25-29 	20413.259227	10572.848335	9840.410893
 30-34 	18193.497275	9471.309693	8722.187582
 35-39 	15761.944379	8218.984340	7542.960038
 40-44 	13500.114432	7058.431727	6441.682705
 45-49 	12375.726524	6503.821461	5871.905063
 50-54 	10963.179477	5818.668337	5144.511140
 55-59 	8567.284879	4565.843837	4001.441042
 60-64 	6174.305255	3218.097368	2956.207887
 65-69 	4708.705519	2249.217114	2459.488405
 70-74 	3769.279744	1546.339954	2222.939790
 75-79 	3001.641763	993.969713	2007.672051
 80+ 	3332.780806	802.261589	2530.519217
Total	216343.929384	109522.229250	106821.700135
2038			
 0-4	18844.603172	9546.946909	9297.656262
 5-9	20562.417443	10408.599401	10153.818042
 10-14 	12786.807549	6463.503266	6323.304283
 15-19 	20694.841160	10477.428259	10217.412901
 20-24 	22613.146029	11579.011283	11034.134746
 25-29 	20466.150406	10605.485138	9860.665268
 30-34 	18226.958501	9493.706523	8733.251978
 35-39 	16087.017972	8388.100658	7698.917314
 40-44 	13598.570387	7104.693838	6493.876548
 45-49 	12424.836550	6518.177393	5906.659158
 50-54 	11158.580437	5902.855938	5255.724499
 55-59 	8947.013976	4755.885036	4191.128940
 60-64 	6438.928826	3363.694240	3075.234586
 65-69 	4779.359439	2312.522236	2466.837203
 70-74 	3767.471613	1575.911393	2191.560220
 75-79 	2967.598124	1002.107504	1965.490621
 80+ 	3411.356318	823.614092	2587.742226
Total	217775.657902	110322.243108	107453.414795
2039			
 0-4	18798.367086	9525.190054	9273.177032
 5-9	20534.706045	10396.632801	10138.073244
 10-14 	12776.070298	6459.610257	6316.460042
 15-19 	20702.393512	10484.524475	10217.869037
 20-24 	22619.132268	11586.878912	11032.253356
 25-29 	20571.342765	10665.714404	9905.628360
 30-34 	18233.941117	9502.487229	8731.453888
 35-39 	16344.954931	8523.799981	7821.154949
 40-44 	13759.115784	7184.112146	6575.003638
 45-49 	12469.163898	6532.394094	5936.769804
 50-54 	11311.140461	5964.873240	5346.267221
 55-59 	9310.286960	4934.927480	4375.359480
 60-64 	6742.008287	3524.882567	3217.125720
 65-69 	4885.701430	2392.088539	2493.612891
 70-74 	3771.983373	1604.742823	2167.240550
 75-79 	2934.270865	1012.629490	1921.641375
 80+ 	3480.489683	843.862487	2636.627197
Total	219245.068762	111139.350979	108105.717783
2040			
 0-4	18750.364407	9502.499993	9247.864414
 5-9	20505.813727	10384.035459	10121.778269
 10-14 	12767.045772	6456.534278	6310.511494
 15-19 	20718.338247	10495.775967	10222.562281
 20-24 	22622.339815	11593.199319	11029.140495
 25-29 	20646.251655	10710.188569	9936.063086
 30-34 	18276.737913	9530.281870	8746.456044
