Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 80+ 	0.000000	0.000000	0.000000
Total	0.104293	0.141301	0.068365
1996			
 0-4	0.033919	0.034024	0.033809
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.311853	0.347851	0.274934
 20-24 	0.314920	0.398642	0.230259
 25-29 	0.302798	0.409686	0.195670
 30-34 	0.292650	0.437983	0.148629
 35-39 	0.267152	0.397520	0.140268
 40-44 	0.215735	0.320628	0.114402
 45-49 	0.138895	0.208296	0.076117
 50-54 	0.056073	0.086508	0.029815
 55-59 	0.020980	0.040896	0.004266
 60-64 	0.001832	0.004002	0.000071
 65-69 	0.000529	0.001131	0.000072
 70-74 	0.000031	0.000072	0.000003
 75-79 	0.000538	0.001171	0.000149
 80+ 	0.000000	0.000000	0.000000
Total	0.151529	0.204775	0.099840
1997			
 0-4	0.049865	0.050013	0.049708
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.455328	0.518204	0.390757
 20-24 	0.461566	0.594254	0.327351
 25-29 	0.444580	0.610707	0.278259
 30-34 	0.431175	0.652896	0.211313
 35-39 	0.393297	0.592408	0.199398
 40-44 	0.317187	0.477427	0.162540
 45-49 	0.205397	0.310966	0.108388
 50-54 	0.082577	0.129183	0.042505
 55-59 	0.031206	0.061120	0.006112
 60-64 	0.002690	0.005891	0.000100
 65-69 	0.000788	0.001688	0.000102
 70-74 	0.000045	0.000106	0.000004
 75-79 	0.000797	0.001750	0.000213
 80+ 	0.000000	0.000000	0.000000
Total	0.224278	0.308110	0.142912
1998			
 0-4	0.071766	0.071972	0.071548
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.635925	0.753138	0.515414
 20-24 	0.649268	0.864017	0.431950
 25-29 	0.627490	0.887856	0.367204
 30-34 	0.612669	0.949282	0.278764
 35-39 	0.558327	0.861148	0.263024
 40-44 	0.449493	0.693684	0.214312
 45-49 	0.291661	0.451253	0.142856
 50-54 	0.117490	0.188743	0.056353
 55-59 	0.045009	0.089030	0.008113
 60-64 	0.003894	0.008558	0.000132
 65-69 	0.001144	0.002467	0.000136
 70-74 	0.000066	0.000155	0.000005
 75-79 	0.001134	0.002538	0.000281
 80+ 	0.000000	0.000000	0.000000
Total	0.319273	0.452242	0.190257
1999			
 0-4	0.095700	0.095960	0.095424
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.711430	0.827742	0.591714
 20-24 	0.724264	0.949639	0.496048
 25-29 	0.698409	0.975751	0.421613
 30-34 	0.680220	1.043366	0.319978
 35-39 	0.620447	0.946323	0.301920
 40-44 	0.498955	0.761973	0.245862
 45-49 	0.324034	0.494196	0.163624
 50-54 	0.131968	0.209477	0.065270
 55-59 	0.049711	0.097997	0.009371
 60-64 	0.004308	0.009482	0.000151
 65-69 	0.001274	0.002744	0.000158
 70-74 	0.000074	0.000173	0.000006
 75-79 	0.001242	0.002771	0.000320
 80+ 	0.000000	0.000000	0.000000
Total	0.360154	0.503592	0.221030
2000			
 0-4	0.118917	0.119224	0.118593
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.755636	0.885284	0.622063
 20-24 	0.770062	1.015344	0.521554
 25-29 	0.742711	1.043338	0.443001
 30-34 	0.724128	1.115596	0.336219
 35-39 	0.661045	1.011629	0.317292
 40-44 	0.530950	0.814055	0.258173
 45-49 	0.344325	0.526385	0.171535
 50-54 	0.142394	0.226531	0.069342
 55-59 	0.053020	0.104949	0.009923
 60-64 	0.004643	0.010250	0.000158
 65-69 	0.001376	0.002973	0.000170
 70-74 	0.000081	0.000190	0.000007
 75-79 	0.001307	0.002933	0.000333
 80+ 	0.000000	0.000000	0.000000
Total	0.387947	0.545251	0.235439
2001			
 0-4	0.140088	0.140437	0.139718
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.769219	0.910642	0.623377
 20-24 	0.784998	1.043816	0.522601
 25-29 	0.757426	1.072687	0.443582
 30-34 	0.739765	1.146832	0.336799
 35-39 	0.675882	1.039836	0.317798
 40-44 	0.542395	0.836246	0.258378
 45-49 	0.350954	0.539368	0.171419
 50-54 	0.147035	0.234621	0.070001
 55-59 	0.054302	0.108117	0.010025
 60-64 	0.004803	0.010645	0.000159
 65-69 	0.001417	0.003073	0.000173
 70-74 	0.000084	0.000197	0.000007
 75-79 	0.001319	0.002985	0.000330
 80+ 	0.000000	0.000000	0.000000
Total	0.400784	0.567549	0.239171
2002			
 0-4	0.156155	0.156546	0.155739
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.741412	0.904304	0.573272
 20-24 	0.760151	1.035769	0.480467
 25-29 	0.735139	1.064483	0.407618
 30-34 	0.721419	1.137938	0.309636
 35-39 	0.659457	1.031695	0.292085
 40-44 	0.528939	0.829331	0.237332
 45-49 	0.341307	0.534092	0.157296
 50-54 	0.144092	0.233193	0.064494
 55-59 	0.053416	0.107567	0.009288
 60-64 	0.004790	0.010666	0.000146
 65-69 	0.001394	0.003049	0.000159
 70-74 	0.000083	0.000196	0.000006
 75-79 	0.001281	0.002942	0.000301
 80+ 	0.000000	0.000000	0.000000
Total	0.393900	0.569832	0.223456
2003			
 0-4	0.166849	0.167422	0.166241
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.690513	0.876291	0.498541
 20-24 	0.712666	1.002990	0.417692
 25-29 	0.691557	1.030801	0.354310
 30-34 	0.682884	1.101945	0.269193
 35-39 	0.624425	0.998959	0.253876
 40-44 	0.500797	0.802774	0.206207
 45-49 	0.322180	0.516559	0.136555
 50-54 	0.136380	0.225108	0.055928
 55-59 	0.051369	0.104697	0.008185
 60-64 	0.004651	0.010412	0.000127
 65-69 	0.001334	0.002947	0.000138
 70-74 	0.000078	0.000187	0.000005
 75-79 	0.001217	0.002846	0.000261
 80+ 	0.000000	0.000000	0.000000
Total	0.374943	0.557810	0.197802
2004			
 0-4	0.174927	0.175872	0.173918
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.634910	0.824437	0.438763
