Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 30-34 	8928.590371	6724.557314	2204.033057
 35-39 	10684.688736	7896.568571	2788.120165
 40-44 	14799.825471	10831.946831	3967.878639
 45-49 	24098.468729	17476.149193	6622.319536
 50-54 	33482.237206	23724.551773	9757.685433
 55-59 	42299.228965	28676.430075	13622.798891
 60-64 	53258.017479	34501.701835	18756.315644
 65-69 	75642.982568	47469.244319	28173.738249
 70-74 	100287.854841	59863.176504	40424.678337
 75-79 	121685.981144	67242.814980	54443.166164
 80+ 	364100.100032	147168.182709	216931.917324
Total	881788.553390	471483.556656	410304.996734
2039			
 0-4	13660.724022	6278.003122	7382.720900
 5-9	1748.785060	1012.087676	736.697384
 10-14 	1499.042184	934.050353	564.991831
 15-19 	2726.318314	1978.314948	748.003367
 20-24 	4837.503872	3686.147324	1151.356548
 25-29 	7328.901954	5555.117483	1773.784471
 30-34 	8893.957808	6697.886339	2196.071469
 35-39 	10645.071953	7865.456357	2779.615596
 40-44 	14077.048519	10295.299745	3781.748774
 45-49 	23279.601073	16878.731768	6400.869304
 50-54 	33713.683710	23883.173359	9830.510351
 55-59 	42789.508874	29011.255218	13778.253656
 60-64 	53361.429246	34556.988646	18804.440600
 65-69 	75840.525983	47564.168616	28276.357367
 70-74 	100646.584511	60111.523828	40535.060683
 75-79 	123867.465169	68731.637352	55135.827818
 80+ 	385811.600941	157156.223349	228655.377593
Total	904727.753195	482196.065483	422531.687713
2040			
 0-4	13381.579297	6152.362337	7229.216960
 5-9	1716.640143	992.827971	723.812172
 10-14 	1465.285623	912.035857	553.249766
 15-19 	2639.639723	1912.390622	727.249101
 20-24 	4692.128681	3570.374725	1121.753956
 25-29 	7190.820869	5442.631248	1748.189621
 30-34 	8831.533839	6647.999498	2183.534341
 35-39 	10646.158718	7869.089246	2777.069472
 40-44 	13542.669986	9896.335020	3646.334966
 45-49 	22220.918104	16105.884476	6115.033628
 50-54 	33847.149521	23974.897702	9872.251820
 55-59 	43288.237681	29354.927485	13933.310196
 60-64 	53612.742451	34722.761304	18889.981147
 65-69 	75869.801812	47544.757828	28325.043983
 70-74 	101237.585852	60510.497898	40727.087954
 75-79 	125800.441527	70083.041295	55717.400232
 80+ 	407492.572952	167161.241208	240331.331744
Total	927475.906779	492854.055719	434621.851060
2041			
 0-4	13103.499170	6028.123708	7075.375462
 5-9	1687.008236	975.844748	711.163488
 10-14 	1434.337065	891.918848	542.418217
 15-19 	2562.643538	1854.552712	708.090826
 20-24 	4545.578954	3454.170370	1091.408584
 25-29 	7040.931320	5320.402270	1720.529050
 30-34 	8740.474223	6575.755220	2164.719003
 35-39 	10665.570680	7887.485429	2778.085251
 40-44 	13168.579582	9614.573960	3554.005622
 45-49 	21021.717333	15233.073149	5788.644183
 50-54 	33812.803093	23951.334653	9861.468440
 55-59 	43758.676506	29680.059986	14078.616521
 60-64 	54011.111542	34995.714722	19015.396820
 65-69 	76022.033371	47622.801764	28399.231607
 70-74 	101618.068108	60744.383696	40873.684413
 75-79 	127410.598569	71220.508424	56190.090145
 80+ 	428749.474298	177027.705409	251721.768889
Total	949353.105587	503078.409067	446274.696521
2042			
 0-4	12824.317105	5903.704589	6920.612516
 5-9	1656.073827	956.938840	699.134987
 10-14 	1406.758179	874.381239	532.376940
 15-19 	2491.857734	1800.722427	691.135307
 20-24 	4402.618389	3340.901475	1061.716914
 25-29 	6877.682990	5188.461356	1689.221635
 30-34 	8627.018098	6485.316242	2141.701856
 35-39 	10679.147640	7903.377382	2775.770258
 40-44 	12934.351326	9437.359429	3496.991897
