Workshop_1_Demo	Total	Male	Female
 25-29 	37815.413881	17338.243741	20477.170141
 30-34 	38999.188275	19354.321187	19644.867088
 35-39 	43696.864795	22273.337804	21423.526990
 40-44 	39753.735246	20391.210228	19362.525018
 45-49 	39849.054730	20212.707949	19636.346782
 50-54 	36641.445541	19238.749833	17402.695708
 55-59 	34932.525652	18997.122771	15935.402881
 60-64 	34925.553110	20081.656933	14843.896177
 65-69 	33920.908969	19645.835873	14275.073096
 70-74 	29904.588208	16539.714925	13364.873283
 75-79 	22749.091410	11255.956734	11493.134676
 80+ 	28809.527241	10807.086901	18002.440340
Total	553517.400123	286018.553335	267498.846788
2001			
 0-4	97141.170847	53242.763610	43898.407237
 5-9	5828.988414	3269.428748	2559.559667
 10-14 	3660.979283	2361.674660	1299.304623
 15-19 	9132.855424	4171.385471	4961.469953
 20-24 	22789.931924	9815.143339	12974.788584
 25-29 	44597.712107	19908.781282	24688.930826
 30-34 	47220.078017	22940.014184	24280.063833
 35-39 	52526.592924	26445.047029	26081.545895
 40-44 	46389.140683	23441.655236	22947.485447
 45-49 	46029.234790	22866.205295	23163.029495
 50-54 	41050.390637	21048.513837	20001.876800
 55-59 	37658.382453	20093.393641	17564.988812
 60-64 	37026.336187	21026.429431	15999.906755
 65-69 	35377.610873	20317.281688	15060.329184
 70-74 	31335.256187	17275.277478	14059.978709
 75-79 	24031.003772	11954.979597	12076.024175
 80+ 	30197.608168	11417.359097	18780.249071
Total	611993.272690	311595.333624	300397.939066
2002			
 0-4	101643.363399	55599.447632	46043.915767
 5-9	6445.320297	3528.716368	2916.603929
 10-14 	3872.045771	2434.850665	1437.195106
 15-19 	9349.889718	4184.460149	5165.429569
 20-24 	24392.152500	10237.075877	14155.076623
